day_of_week,hour,avg_active_power,peak_active_power,avg_water_heater,avg_kitchen,total_readings
1,0,0.531,6.052,2.683,0.125,12180
1,1,0.450,3.502,2.086,0.037,12180
1,2,0.413,3.588,1.556,0.025,12180
1,3,0.424,3.612,1.895,0.019,12180
1,4,0.428,2.600,2.081,0.000,12180
1,5,0.417,3.014,1.918,0.000,12180
1,6,0.819,7.730,4.551,0.000,12180
1,7,1.717,9.486,12.751,0.166,12205
1,8,1.498,7.572,14.385,1.451,12240
1,9,1.374,7.624,13.933,1.394,12240
1,10,1.192,7.150,11.945,0.691,12240
1,11,1.083,7.344,10.335,0.566,12240
1,12,1.064,6.472,9.096,0.797,12240
1,13,0.874,5.916,6.969,0.805,12239
1,14,0.758,6.376,5.785,0.575,12276
1,15,0.734,6.274,4.943,0.652,12300
1,16,0.707,6.540,4.220,0.511,12300
1,17,0.785,6.124,3.848,0.169,12293
1,18,1.093,7.508,4.620,0.892,12298
1,19,1.570,7.682,5.193,1.961,12300
1,20,1.891,8.362,8.209,2.422,12299
1,21,1.908,8.110,7.210,2.867,12299
1,22,1.390,7.694,5.160,2.564,12299
1,23,0.844,5.202,3.944,1.230,12300
2,0,0.608,4.286,3.243,0.236,12300
2,1,0.467,3.572,1.971,0.075,12300
2,2,0.439,3.664,1.796,0.040,12300
2,3,0.426,3.622,1.624,0.000,12300
2,4,0.440,3.690,2.066,0.000,12297
2,5,0.427,5.062,1.852,0.000,12300
2,6,0.857,8.310,4.390,0.011,12300
2,7,1.686,6.536,12.335,0.364,12300
2,8,1.607,7.840,14.542,1.752,12300
2,9,1.342,5.994,13.056,1.476,12300
2,10,1.227,7.222,11.457,0.593,12276
2,11,1.249,6.768,10.599,0.789,12300
2,12,1.247,8.944,9.769,1.192,12298
2,13,1.201,7.962,8.392,0.830,12300
2,14,1.014,8.008,6.858,0.922,12293
2,15,0.929,8.848,6.296,0.570,12240
2,16,0.869,7.074,5.335,0.294,12239
2,17,0.915,8.498,4.298,0.262,12240
2,18,1.168,7.242,4.792,0.647,12240
2,19,1.586,9.732,5.408,2.337,12287
2,20,1.865,8.670,7.728,1.858,12300
2,21,1.846,7.540,6.926,2.128,12240
2,22,1.464,7.290,5.681,1.929,12240
2,23,0.801,6.304,3.458,0.573,12240
3,0,0.564,6.386,2.539,0.277,12240
3,1,0.488,4.210,2.450,0.085,12240
3,2,0.474,5.042,2.344,0.150,12240
3,3,0.393,3.770,1.358,0.085,12240
3,4,0.405,3.156,1.743,0.000,12240
3,5,0.432,2.530,2.231,0.000,12240
3,6,0.905,7.980,5.247,0.000,12239
3,7,1.782,7.248,13.703,0.359,12240
3,8,1.641,6.586,15.683,2.176,12217
3,9,1.421,6.694,14.375,2.487,12240
3,10,1.271,8.000,12.679,1.127,12228
3,11,1.307,6.836,10.798,1.566,12182
3,12,1.171,7.496,8.983,1.003,12240
3,13,1.114,8.862,7.327,0.709,12240
3,14,1.071,6.644,5.801,1.312,12238
3,15,0.955,8.432,4.875,1.048,12240
3,16,0.919,8.340,4.406,0.688,12240
3,17,0.994,7.078,3.912,0.371,12240
3,18,1.189,7.852,3.815,0.715,12240
3,19,1.585,8.136,4.945,1.883,12240
3,20,1.782,8.974,6.998,2.433,12238
3,21,2.005,8.336,7.979,3.180,12237
3,22,1.358,7.044,5.747,2.599,12240
3,23,0.759,5.880,3.332,1.163,12240
4,0,0.572,5.922,2.381,0.322,12240
4,1,0.467,4.546,1.845,0.109,12240
4,2,0.438,3.988,1.818,0.032,12239
