reading_date,daily_avg_power,moving_avg_7day
2006-12-16,3.053,3.053
2006-12-17,2.354,2.704
2006-12-18,1.530,2.313
2006-12-19,1.157,2.024
2006-12-20,1.546,1.928
2006-12-21,1.194,1.806
2006-12-22,1.626,1.780
2006-12-23,3.315,1.817
2006-12-24,1.771,1.734
2006-12-25,1.905,1.788
2006-12-26,2.732,2.013
2006-12-27,1.062,1.943
2006-12-28,1.439,1.979
2006-12-29,2.204,2.061
2006-12-30,1.940,1.865
2006-12-31,2.427,1.958
2007-01-01,1.909,1.959
2007-01-02,0.881,1.695
2007-01-03,0.704,1.644
2007-01-04,2.263,1.761
2007-01-05,1.884,1.716
2007-01-06,1.047,1.588
2007-01-07,1.700,1.484
2007-01-08,1.557,1.434
2007-01-09,1.298,1.493
2007-01-10,1.496,1.607
2007-01-11,1.566,1.507
2007-01-12,1.015,1.383
2007-01-13,2.213,1.549
2007-01-14,2.090,1.605
2007-01-15,1.492,1.596
2007-01-16,1.171,1.578
2007-01-17,1.978,1.646
2007-01-18,1.265,1.603
2007-01-19,1.028,1.605
2007-01-20,2.176,1.600
2007-01-21,2.366,1.639
2007-01-22,1.514,1.643
2007-01-23,1.234,1.652
2007-01-24,2.075,1.666
2007-01-25,1.109,1.643
2007-01-26,1.124,1.657
2007-01-27,1.419,1.549
2007-01-28,2.147,1.518
2007-01-29,1.377,1.498
2007-01-30,1.186,1.491
2007-01-31,1.641,1.429
2007-02-01,1.267,1.452
2007-02-02,1.158,1.457
2007-02-03,2.798,1.654
2007-02-04,2.497,1.704
2007-02-05,1.143,1.670
2007-02-06,0.884,1.627
2007-02-07,1.617,1.624
2007-02-08,1.251,1.621
2007-02-09,1.125,1.616
2007-02-10,1.965,1.497
2007-02-11,2.480,1.495
2007-02-12,1.304,1.518
2007-02-13,0.982,1.532
2007-02-14,1.735,1.549
2007-02-15,1.379,1.567
2007-02-16,1.182,1.575
2007-02-17,1.442,1.501
2007-02-18,2.660,1.526
2007-02-19,1.518,1.557
2007-02-20,2.187,1.729
2007-02-21,1.439,1.687
2007-02-22,2.343,1.825
2007-02-23,0.912,1.786
2007-02-24,0.496,1.651
2007-02-25,0.348,1.321
2007-02-26,0.395,1.160
2007-02-27,0.360,0.899
2007-02-28,0.362,0.745
2007-03-01,0.359,0.462
2007-03-02,0.358,0.383
2007-03-03,0.569,0.393
2007-03-04,1.452,0.551
2007-03-05,1.847,0.758
2007-03-06,0.866,0.830
2007-03-07,1.649,1.014
2007-03-08,1.092,1.119
2007-03-09,0.884,1.194
2007-03-10,1.725,1.359
2007-03-11,2.417,1.497
2007-03-12,1.355,1.427
2007-03-13,0.896,1.431
2007-03-14,1.245,1.373
2007-03-15,1.309,1.404
2007-03-16,1.182,1.447
2007-03-17,1.408,1.402
2007-03-18,1.647,1.292
2007-03-19,1.495,1.312
2007-03-20,1.449,1.391
2007-03-21,1.488,1.425
2007-03-22,1.010,1.383
2007-03-23,0.909,1.344
2007-03-24,2.061,1.437
2007-03-25,2.318,1.533
2007-03-26,0.983,1.460
2007-03-27,0.767,1.363
2007-03-28,1.621,1.382
2007-03-29,1.104,1.395
2007-03-30,0.974,1.404
2007-03-31,2.437,1.458
2007-04-01,1.935,1.403
2007-04-02,1.362,1.457
2007-04-03,1.141,1.510
2007-04-04,1.425,1.483
2007-04-05,1.281,1.508
2007-04-06,1.112,1.527
2007-04-07,1.079,1.333
2007-04-08,1.117,1.217
2007-04-09,0.695,1.121
2007-04-10,0.540,1.036
2007-04-11,0.616,0.920
2007-04-12,0.373,0.790
2007-04-13,0.383,0.686
2007-04-14,0.385,0.587
2007-04-15,0.504,0.499
2007-04-16,0.661,0.495
2007-04-17,0.850,0.539
2007-04-18,0.693,0.550
2007-04-19,0.714,0.599
2007-04-20,0.571,0.626
2007-04-21,1.162,0.737
2007-04-22,1.551,0.886
2007-04-23,0.732,0.896
2007-04-24,0.717,0.877
2007-04-25,0.878,0.904
2007-04-26,0.886,0.928
2007-04-27,0.760,0.955
2007-04-28,1.083,0.944
2007-04-30,0.731,0.827
2007-05-01,1.155,0.887
2007-05-02,0.697,0.884
2007-05-03,0.757,0.867
2007-05-04,0.693,0.839
2007-05-05,1.085,0.886
2007-05-06,1.460,0.940
2007-05-07,1.141,0.998
2007-05-08,1.243,1.011
2007-05-09,1.157,1.077
2007-05-10,0.492,1.039
2007-05-11,0.680,1.037
2007-05-12,1.001,1.025
2007-05-13,1.135,0.978
2007-05-14,1.019,0.961
2007-05-15,0.628,0.873
2007-05-16,1.176,0.876
2007-05-17,0.855,0.928
2007-05-18,1.133,0.993
2007-05-19,0.993,0.991
2007-05-20,1.367,1.024
2007-05-21,0.778,0.990
2007-05-22,0.787,1.013
2007-05-23,1.017,0.990
2007-05-24,0.802,0.982
2007-05-25,1.121,0.981
2007-05-26,1.050,0.989
2007-05-27,1.496,1.007
2007-05-28,1.137,1.059
2007-05-29,0.737,1.051
2007-05-30,1.118,1.066
2007-05-31,0.652,1.044
2007-06-01,0.726,0.988
2007-06-02,1.031,0.985
2007-06-03,1.464,0.981
2007-06-04,0.633,0.909
2007-06-05,1.013,0.948
2007-06-06,1.177,0.957
2007-06-07,0.684,0.961
2007-06-08,1.492,1.071
2007-06-09,0.756,1.031
2007-06-10,0.931,0.955
2007-06-11,0.552,0.944
2007-06-12,0.638,0.890
2007-06-13,0.644,0.814
2007-06-14,0.874,0.841
2007-06-15,0.687,0.726
2007-06-16,1.401,0.818
2007-06-17,1.352,0.878
2007-06-18,0.471,0.867
2007-06-19,0.586,0.859
2007-06-20,0.746,0.874
2007-06-21,0.560,0.829
2007-06-22,0.393,0.787
2007-06-23,0.332,0.634
2007-06-24,0.496,0.512
2007-06-25,0.745,0.551
2007-06-26,0.656,0.561
2007-06-27,1.028,0.602
2007-06-28,0.900,0.650
2007-06-29,0.906,0.723
2007-06-30,0.927,0.808
2007-07-01,0.713,0.839
2007-07-02,0.672,0.829
2007-07-03,0.736,0.840
2007-07-04,0.697,0.793
2007-07-05,0.734,0.769
2007-07-06,0.743,0.746
2007-07-07,0.943,0.748
2007-07-08,0.756,0.754
2007-07-09,0.820,0.776
2007-07-10,0.631,0.761
2007-07-11,0.502,0.733
2007-07-12,0.743,0.734
2007-07-13,0.552,0.707
2007-07-14,0.895,0.700
2007-07-15,0.700,0.692
2007-07-16,0.593,0.659
2007-07-17,0.500,0.640
2007-07-18,0.526,0.644
2007-07-19,0.471,0.605
2007-07-20,0.771,0.636
2007-07-21,0.736,0.614
2007-07-22,0.956,0.650
2007-07-23,0.688,0.664
2007-07-24,0.573,0.674
2007-07-25,0.328,0.646
2007-07-26,0.642,0.671
2007-07-27,0.835,0.680
2007-07-28,1.126,0.736
2007-07-29,0.223,0.631
2007-07-30,0.324,0.579
2007-07-31,0.564,0.578
2007-08-01,0.747,0.637
2007-08-02,0.708,0.647
2007-08-03,0.738,0.633
2007-08-04,0.795,0.586
2007-08-05,0.547,0.632
2007-08-06,0.757,0.694
2007-08-07,1.030,0.760
2007-08-08,0.782,0.765
2007-08-09,0.744,0.770
2007-08-10,0.714,0.767
2007-08-11,0.758,0.762
2007-08-12,0.862,0.807
2007-08-13,0.801,0.813
2007-08-14,0.654,0.759
2007-08-15,0.828,0.766
2007-08-16,0.666,0.755
2007-08-17,0.701,0.753
2007-08-18,0.242,0.679
2007-08-19,0.988,0.697
2007-08-20,0.930,0.715
2007-08-21,0.446,0.686
2007-08-22,0.840,0.687
2007-08-23,0.772,0.703
2007-08-24,1.151,0.767
2007-08-25,0.799,0.847
2007-08-26,0.913,0.836
2007-08-27,0.841,0.823
2007-08-28,0.692,0.859
2007-08-29,0.519,0.813
2007-08-30,0.835,0.822
2007-08-31,0.889,0.784
2007-09-01,1.182,0.839
2007-09-02,1.154,0.873
2007-09-03,0.721,0.856
2007-09-04,1.101,0.914
2007-09-05,0.859,0.963
2007-09-06,0.626,0.933
2007-09-07,0.928,0.939
2007-09-08,1.021,0.916
2007-09-09,1.166,0.917
2007-09-10,0.776,0.925
2007-09-11,0.683,0.866
2007-09-12,0.894,0.871
2007-09-13,0.796,0.895
2007-09-14,0.789,0.875
2007-09-15,0.761,0.838
2007-09-16,1.147,0.835
2007-09-17,1.015,0.869
2007-09-18,0.811,0.887
2007-09-19,0.902,0.889
2007-09-20,0.872,0.899
